Student,ID,SIS User ID,SIS Login ID,Section,Challenge (Cafe) lab: Creating a Static Website for the Cafe (1937902), Challenge (Cafe)  lab: Creating a Dynamic Website for the Café (1937896),Guided lab: Introducing Amazon Elastic File System (Amazon EFS) (1937932),Guided lab: Creating an Amazon RDS Database (1937927),Challenge (Cafe) lab: Migrating a Database to Amazon RDS (1937905),Challenge (Cafe) lab: Creating a VPC Networking Environment for the Café (1937904),Guided lab: Creating a Virtual Private Cloud (1937925),Guided lab: Creating a VPC Peering Connection (1937923),Guided Lab: Exploring AWS Identity and Access Management (IAM) (1937915),Guided lab: Securing Applications by using Amazon Cognito (1937934),Guided lab: Creating a Highly Available Environment (1937921),Guided lab: Encrypting Data at Rest by Using AWS Encryption Options (1937929),Challenge (Café) lab: Creating a Scalable and Highly Available Environment for the Café (1937908),Guided lab: Automating Infrastructure with AWS CloudFormation (1937917),Challenge (Café) lab: Automating Infrastructure Deployment (1937907),Guided lab: Building Decoupled Applications by Using Amazon SQS (1937919),Guided lab: Implementing a Serverless Architecture on AWS (1937931),(Optional) Guided lab: Breaking a Monolithic Node.js Application into Microservices (1937897),Challenge (Café) lab: Implementing a Serverless Architecture for the Café (1937909),Capstone Project (1937900),Capstone Project (1937901),Guided Lab: Configuring Hybrid Storage and Migrating Data with AWS Storage Gateway S3 File Gateway (1937913),Module 3 Knowledge Check (1937954),Module 4 Knowledge Check (1937955),Module 5 Knowledge Check (1937957),Module 6 Knowledge Check (1937959),Module 7 Knowledge Check (1937961),Module 8 Knowledge Check (1937963),Module 9 Knowledge Check (1937965),Module 10 Knowledge Check (1937938),Module 11 Knowledge Check (1937940),Module 12 Knowledge Check (1937942),Module 13 Knowledge Check (1937944),Module 14 Knowledge Check (1937946),Module 15 Knowledge Check (1937948),Module 16 Knowledge Check (1937950),Academy Cloud Architecting Course Assessment (1937898),Module 2 Knowledge Check (1937952),Lab Assignments Current Points,Lab Assignments Final Points,Lab Assignments Current Score,Lab Assignments Unposted Current Score,Lab Assignments Final Score,Lab Assignments Unposted Final Score,Assignments Current Points,Assignments Final Points,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Current Points,Final Points,Current Score,Unposted Current Score,Final Score,Unposted Final Score
"Student_010, Antun",student_010,,student_010_antun@uni.edu.ar,AWS Academy Cloud Architecting [162284],28.00,29.00,15.00,20.00,19.00,40.00,56.00,56.00,56.00,56.00,52.27,56.00,,42.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,677.27,677.27,94.20,94.20,65.50,65.50,0.00,0.00,,,0.00,0.00,677.27,677.27,94.20,94.20,25.71,25.71
"Student_011, Bautista",student_011,,student_011_bautista@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,0.00,0.00,,,0.00,0.00,608.00,608.00,100.00,100.00,23.08,23.08
"Student_012, Bautista",student_012,,student_012_bautista@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,23.00,15.00,20.00,22.00,56.00,50.40,56.00,56.00,46.67,56.00,56.00,46.97,56.00,56.00,56.00,56.00,,56.00,,,40.00,,,,,,,,,,,,,,,,,853.03,853.03,96.17,96.17,82.50,82.50,0.00,0.00,,,0.00,0.00,853.03,853.03,96.17,96.17,32.39,32.39
"Student_013, Belén",student_013,,student_013_belen@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,0.00,0.00,,,0.00,0.00,608.00,608.00,100.00,100.00,23.08,23.08
"Student_014, Bernardo",student_014,,student_014_bernardo@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,0.00,0.00,,,0.00,0.00,608.00,608.00,100.00,100.00,23.08,23.08
"Student_015, Carlos",student_015,,student_015_carlos@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,15.00,,,50.40,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,593.67,593.67,97.64,97.64,57.41,57.41,0.00,0.00,,,0.00,0.00,593.67,593.67,97.64,97.64,22.54,22.54
"Student_016, Claudia",student_016,,student_016_claudia@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,46.67,56.00,56.00,56.00,56.00,,56.00,,46.67,56.00,,,,,40.00,90.00,100.00,90.00,,,,,,,,,,,,,100.00,589.33,589.33,96.93,96.93,57.00,57.00,380.00,380.00,95.00,95.00,23.75,23.75,969.33,969.33,96.16,96.16,36.80,36.80
"Student_017, Edgardo",student_017,,student_017_edgardo@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,0.00,0.00,,,0.00,0.00,608.00,608.00,100.00,100.00,23.08,23.08
"Student_018, Edgardo",student_018,,student_018_edgardo@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,50.40,56.00,56.00,56.00,48.53,56.00,,42.00,,28.00,42.00,,,,,5.00,80.00,,,,,,,,,,,,,,,,503.93,503.93,82.88,82.88,48.74,48.74,80.00,80.00,80.00,80.00,5.00,5.00,583.93,583.93,82.48,82.48,22.17,22.17
"Student_019, Eduardo",student_019,,student_019_eduardo@uni.edu.ar,AWS Academy Cloud Architecting [162284],4.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,583.00,583.00,95.89,95.89,56.38,56.38,0.00,0.00,,,0.00,0.00,583.00,583.00,95.89,95.89,22.13,22.13
"Student_020, Elian",student_020,,student_020_elian@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,30.00,15.00,15.00,22.00,51.00,56.00,56.00,56.00,56.00,52.27,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,,40.00,90.00,90.00,80.00,90.00,100.00,80.00,90.00,90.00,,,,,,,,90.00,870.27,870.27,98.11,98.11,84.17,84.17,800.00,800.00,88.89,88.89,50.00,50.00,1670.27,1670.27,93.47,93.47,63.41,63.41
"Student_021, Emiliano",student_021,,student_021_emiliano@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,100.00,608.00,608.00,100.00,100.00,58.80,58.80,100.00,100.00,100.00,100.00,6.25,6.25,708.00,708.00,100.00,100.00,26.88,26.88
"Student_022, Ergas",student_022,,student_022_ergas@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,28.00,15.00,20.00,14.00,,,,56.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.00,162.00,92.57,92.57,15.67,15.67,0.00,0.00,,,0.00,0.00,162.00,162.00,92.57,92.57,6.15,6.15
"Student_023, Ezequiel",student_023,,student_023_ezequiel@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,100.00,100.00,90.00,100.00,100.00,100.00,100.00,,,,,,,,,100.00,608.00,608.00,100.00,100.00,58.80,58.80,790.00,790.00,98.75,98.75,49.38,49.38,1398.00,1398.00,99.29,99.29,53.08,53.08
"Student_024, Ezequiel",student_024,,student_024_ezequiel@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,100.00,608.00,608.00,100.00,100.00,58.80,58.80,100.00,100.00,100.00,100.00,6.25,6.25,708.00,708.00,100.00,100.00,26.88,26.88
"Student_025, Ezequiel",student_025,,student_025_ezequiel@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,0.00,0.00,,,0.00,0.00,608.00,608.00,100.00,100.00,23.08,23.08
"Student_026, Ezequiel",student_026,,student_026_ezequiel@uni.edu.ar,AWS Academy Cloud Architecting [162284],25.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,604.00,604.00,99.34,99.34,58.41,58.41,0.00,0.00,,,0.00,0.00,604.00,604.00,99.34,99.34,22.93,22.93
"Student_027, Facundo",student_027,,student_027_facundo@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,0.00,0.00,,,0.00,0.00,608.00,608.00,100.00,100.00,23.08,23.08
"Student_028, Federico",student_028,,student_028_federico@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,44.80,56.00,56.00,56.00,44.80,56.00,,42.00,,46.67,56.00,,,,,40.00,90.00,,,,,,,,,,,,,,,80.00,562.27,562.27,92.48,92.48,54.38,54.38,170.00,170.00,85.00,85.00,10.63,10.63,732.27,732.27,90.63,90.63,27.80,27.80
"Student_029, Federico",student_029,,student_029_federico@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,0.00,0.00,,,0.00,0.00,608.00,608.00,100.00,100.00,23.08,23.08
"Student_030, Felipe",student_030,,student_030_felipe@uni.edu.ar,AWS Academy Cloud Architecting [162284],27.00,,15.00,20.00,,,50.40,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,596.67,596.67,98.14,98.14,57.70,57.70,0.00,0.00,,,0.00,0.00,596.67,596.67,98.14,98.14,22.65,22.65
"Student_031, Francisco",student_031,,student_031_francisco@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,30.00,15.00,20.00,19.00,56.00,56.00,56.00,56.00,56.00,52.27,56.00,54.19,56.00,56.00,56.00,56.00,,48.00,,,40.00,90.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,90.00,100.00,,100.00,867.46,867.46,97.80,97.80,83.89,83.89,1470.00,1470.00,98.00,98.00,91.88,91.88,2337.46,2337.46,97.92,97.92,88.74,88.74
"Student_032, Francisco",student_032,,student_032_francisco@uni.edu.ar,AWS Academy Cloud Architecting [162284],28.00,27.00,15.00,20.00,22.00,56.00,50.40,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,,,,,30.00,100.00,100.00,90.00,100.00,90.00,90.00,100.00,100.00,100.00,90.00,100.00,100.00,100.00,90.00,96.00,100.00,692.67,692.67,96.34,96.34,66.99,66.99,1546.00,1546.00,96.63,96.63,96.63,96.63,2238.67,2238.67,96.54,96.54,84.99,84.99
"Student_033, Franco",student_033,,student_033_franco@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,25.00,15.00,20.00,22.00,50.00,56.00,46.67,56.00,56.00,52.27,56.00,37.94,56.00,54.13,56.00,56.00,,48.00,,,40.00,100.00,90.00,80.00,90.00,70.00,100.00,100.00,100.00,100.00,90.00,100.00,90.00,100.00,80.00,96.00,90.00,832.00,832.00,93.80,93.80,80.46,80.46,1476.00,1476.00,92.25,92.25,92.25,92.25,2308.00,2308.00,92.80,92.80,87.62,87.62
"Student_034, Ignacio",student_034,,student_034_ignacio@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,30.00,15.00,20.00,25.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,,40.00,,,,,,,,,,,,,,,,,887.00,887.00,100.00,100.00,85.78,85.78,0.00,0.00,,,0.00,0.00,887.00,887.00,100.00,100.00,33.68,33.68
"Student_035, Jimena",student_035,,student_035_jimena@uni.edu.ar,AWS Academy Cloud Architecting [162284],28.00,26.00,15.00,20.00,14.00,49.00,44.80,56.00,56.00,56.00,52.27,56.00,,56.00,,46.67,56.00,,,,,40.00,100.00,80.00,90.00,70.00,80.00,90.00,,,,,,,,,,80.00,671.73,671.73,93.43,93.43,64.96,64.96,590.00,590.00,84.29,84.29,36.88,36.88,1261.73,1261.73,88.92,88.92,47.90,47.90
"Student_036, Julian",student_036,,student_036_julian@uni.edu.ar,AWS Academy Cloud Architecting [162284],,,15.00,20.00,,,56.00,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,575.27,575.27,99.36,99.36,55.64,55.64,0.00,0.00,,,0.00,0.00,575.27,575.27,99.36,99.36,21.84,21.84
"Student_037, Leonel",student_037,,student_037_leonel@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,44.80,56.00,56.00,46.67,52.27,56.00,,56.00,,56.00,49.00,,,,,40.00,100.00,,,,,,,,,,,,,,,90.00,576.73,576.73,94.86,94.86,55.78,55.78,190.00,190.00,95.00,95.00,11.88,11.88,766.73,766.73,94.89,94.89,29.11,29.11
"Student_038, Lorenzo",student_038,,student_038_lorenzo@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,0.00,0.00,,,0.00,0.00,608.00,608.00,100.00,100.00,23.08,23.08
"Student_039, Lucas",student_039,,student_039_lucas@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,50.40,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,100.00,598.67,598.67,98.46,98.46,57.90,57.90,100.00,100.00,100.00,100.00,6.25,6.25,698.67,698.67,98.68,98.68,26.52,26.52
"Student_040, Lucas",student_040,,student_040_lucas@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,50.40,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,598.67,598.67,98.46,98.46,57.90,57.90,0.00,0.00,,,0.00,0.00,598.67,598.67,98.46,98.46,22.73,22.73
"Student_041, Lucas",student_041,,student_041_lucas@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,0.00,0.00,,,0.00,0.00,608.00,608.00,100.00,100.00,23.08,23.08
"Student_042, Manuel",student_042,,student_042_manuel@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,46.67,52.27,56.00,,56.00,,56.00,49.00,,,,,40.00,90.00,,,,,,,,,,,,,,,,587.93,587.93,96.70,96.70,56.86,56.86,90.00,90.00,90.00,90.00,5.63,5.63,677.93,677.93,95.75,95.75,25.74,25.74
"Student_043, Manuela",student_043,,student_043_manuela@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,50.40,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,,,,,40.00,90.00,,,,,,,,,,,,,,,,598.67,598.67,98.46,98.46,57.90,57.90,90.00,90.00,90.00,90.00,5.63,5.63,688.67,688.67,97.27,97.27,26.15,26.15
"Student_044, Marco",student_044,,student_044_marco@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,48.53,56.00,,56.00,,56.00,49.00,,,,,40.00,,,,,,,,,,,,,,,,,593.53,593.53,97.62,97.62,57.40,57.40,0.00,0.00,,,0.00,0.00,593.53,593.53,97.62,97.62,22.53,22.53
"Student_045, Marquez",student_045,,student_045_marquez@uni.edu.ar,AWS Academy Cloud Architecting [162284],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,0.00
"Student_046, Martín",student_046,,student_046_martin@uni.edu.ar,AWS Academy Cloud Architecting [162284],25.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,48.53,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,596.53,596.53,98.11,98.11,57.69,57.69,0.00,0.00,,,0.00,0.00,596.53,596.53,98.11,98.11,22.65,22.65
"Student_047, Martiniano",student_047,,student_047_martiniano@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,80.00,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,80.00,80.00,80.00,80.00,5.00,5.00,688.00,688.00,97.18,97.18,26.12,26.12
"Student_048, Mateo",student_048,,student_048_mateo@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,0.00,0.00,,,0.00,0.00,608.00,608.00,100.00,100.00,23.08,23.08
"Student_049, Matias",student_049,,student_049_matias@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,30.00,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,42.00,,56.00,56.00,,,,,40.00,100.00,90.00,90.00,,,,,,,,,,,,,100.00,624.00,624.00,97.81,97.81,60.35,60.35,380.00,380.00,95.00,95.00,23.75,23.75,1004.00,1004.00,96.72,96.72,38.12,38.12
"Student_050, Nicolás",student_050,,student_050_nicolas@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,44.80,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,11.20,,,,40.00,100.00,100.00,,,,,,,,,,,,,,100.00,604.27,604.27,91.00,91.00,58.44,58.44,300.00,300.00,100.00,100.00,18.75,18.75,904.27,904.27,93.80,93.80,34.33,34.33
"Student_051, Paula",student_051,,student_051_paula@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,,604.27,604.27,99.39,99.39,58.44,58.44,0.00,0.00,,,0.00,0.00,604.27,604.27,99.39,99.39,22.94,22.94
"Student_052, Gonzalo",student_052,,student_052_gonzalo@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,,,,,40.00,100.00,100.00,90.00,100.00,80.00,100.00,90.00,100.00,90.00,100.00,100.00,90.00,90.00,70.00,,100.00,604.27,604.27,99.39,99.39,58.44,58.44,1400.00,1400.00,93.33,93.33,87.50,87.50,2004.27,2004.27,95.08,95.08,76.09,76.09
"Student_053, Ramiro",student_053,,student_053_ramiro@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,52.27,56.00,,56.00,,56.00,56.00,,,,,40.00,,,,,,,,,,,,,,,,80.00,604.27,604.27,99.39,99.39,58.44,58.44,80.00,80.00,80.00,80.00,5.00,5.00,684.27,684.27,96.65,96.65,25.98,25.98
"Student_054, Santiago",student_054,,student_054_santiago@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,28.00,15.00,20.00,22.00,51.00,56.00,56.00,56.00,56.00,52.27,56.00,36.13,56.00,44.80,56.00,56.00,,48.00,,,40.00,,,,,,,,,,,,,,,,,834.20,834.20,94.05,94.05,80.68,80.68,0.00,0.00,,,0.00,0.00,834.20,834.20,94.05,94.05,31.67,31.67
"Student_055, Selene",student_055,,student_055_selene@uni.edu.ar,AWS Academy Cloud Architecting [162284],26.00,,15.00,15.00,,,50.40,56.00,56.00,56.00,56.00,56.00,,42.00,,56.00,49.00,,,,,40.00,,,,,,,,,,,,,,,,,573.40,573.40,94.31,94.31,55.45,55.45,0.00,0.00,,,0.00,0.00,573.40,573.40,94.31,94.31,21.77,21.77
"Student_056, Testa",student_056,,student_056_testa@uni.edu.ar,AWS Academy Cloud Architecting [162284],29.00,,15.00,20.00,,,56.00,56.00,56.00,56.00,56.00,56.00,,56.00,,56.00,56.00,,,,,40.00,90.00,,,,,,,,,,,,,,,,608.00,608.00,100.00,100.00,58.80,58.80,90.00,90.00,90.00,90.00,5.63,5.63,698.00,698.00,98.59,98.59,26.50,26.50
